9eightone                                                    ;981                                                     ;91
hczsqfour3nxm5seven4                                         ;hczsq43nxm574                                           ;44
9twopjqkghmbone                                              ;92pjqkghmb1                                             ;91
rhrfthv886vflthreeztvzs                                      ;rhrfthv886vfl3ztvzs                                     ;83
tlbtwo62five                                                 ;tlb2625                                                 ;25
ninetwonine234nvtlzxzczx                                     ;929234nvtlzxzczx                                        ;94
28sevenseven                                                 ;2877                                                    ;27
2sevensxszqdhjg2threexzjj3                                   ;27sxszqdhjg23xzjj3                                      ;23
2fvq                                                         ;2fvq                                                    ;22
781dk97eight26                                               ;781dk97826                                              ;76
plfrsjtbl6                                                   ;plfrsjtbl6                                              ;66
sixglj13                                                     ;6glj13                                                  ;63
b3seven6817gjpcxseven                                        ;b376817gjpcx7                                           ;37
3fivenlqcbszfoursixfive6sixfb                                ;35nlqcbsz46566fb                                        ;36
zfxbzhczcx9eightwockk                                        ;zfxbzhczcx98wockk                                       ;98
threedssqrlk2qnpkzpkdddt                                     ;3dssqrlk2qnpkzpkdddt                                    ;32
three67fourkbrlkf7mtbjprrth2                                 ;3674kbrlkf7mtbjprrth2                                   ;32
seven3oneightp                                               ;731ightp                                                ;71
31three                                                      ;313                                                     ;33
3894sevenfourfour                                            ;3894744                                                 ;34
3ghmqlnine                                                   ;3ghmql9                                                 ;39
7nine5zplh                                                   ;795zplh                                                 ;75
3three9                                                      ;339                                                     ;39
ff6dhvzmdrgt                                                 ;ff6dhvzmdrgt                                            ;66
3one3four                                                    ;3134                                                    ;34
fourvptdnbpqcxktwoone4oneone                                 ;4vptdnbpqcxk21411                                       ;41
d6                                                           ;d6                                                      ;66
4kthx2                                                       ;4kthx2                                                  ;42
ktjvrmdjf27five8one                                          ;ktjvrmdjf27581                                          ;21
94gkvkghfjqpsix                                              ;94gkvkghfjqp6                                           ;96
4gzstfpbqblqkxqrvd                                           ;4gzstfpbqblqkxqrvd                                      ;44
eight1nine                                                   ;819                                                     ;89
8zgpptkqjdglpkssbpgzmn85                                     ;8zgpptkqjdglpkssbpgzmn85                                ;85
sixpmfjrdmcj76                                               ;6pmfjrdmcj76                                            ;66
six97                                                        ;697                                                     ;67
ninesxs7                                                     ;9sxs7                                                   ;97
one5lvxpfbnlfq                                               ;15lvxpfbnlfq                                            ;15
