747,81
236,817
313,108
505,14
556,399
805,242
962,929
825,373
485,549
997,580
185,31
207,545
390,547
870,862
196,864
996,215
409,702
926,46
810,839
51,807
683,594
341,52
105,804
424,180
835,248
416,138
391,260
514,889
966,69
974,150
55,592
595,634
411,856
760,26
709,831
168,53
236,10
35,390
667,142
513,507
308,459
355,291
542,468
739,187
283,674
712,436
152,492
186,415
975,607
742,810
706,320
302,716
912,233
845,877
934,631
659,35
786,34
619,381
343,876
949,622
326,935
645,588
578,245
18,970
142,795
362,271
487,604
709,46
990,609
435,321
141,937
164,724
794,619
888,27
104,680
675,434
977,309
335,723
121,382
195,959
163,25
748,494
853,971
487,119
464,425
356,739
450,597
718,85
726,700
985,341
136,995
173,114
348,812
811,730
829,806
541,435
73,453
591,224
259,828
881,655
680,724
386,41
28,427
843,902
552,150
932,889
868,500
284,627
3,460
189,930
530,643
355,824
442,248
935,538
904,782
4,3
413,185
186,122
178,450
497,215
278,119
666,486
655,286
612,398
235,193
338,582
393,652
199,125
631,168
704,305
125,117
708,612
643,656
419,236
725,272
67,126
376,600
450,940
410,650
413,921
282,136
769,873
216,592
236,694
31,318
64,762
667,401
531,281
602,812
451,957
625,415
493,730
427,589
36,843
517,794
108,27
677,666
121,545
344,999
188,386
504,888
517,53
202,953
852,728
642,924
416,71
394,437
225,400
453,970
501,788
869,338
13,52
537,872
604,297
524,779
314,567
469,284
780,640
865,566
549,793
505,556
436,898
953,905
20,534
266,96
54,332
271,627
920,364
246,802
99,234
366,414
161,396
647,950
125,182
187,557
667,349
604,527
393,190
382,576
387,177
501,194
675,332
619,296
198,309
330,695
845,178
364,222
178,824
82,232
517,850
266,259
664,440
572,550
379,259
636,936
455,726
232,811
179,282
795,833
106,842
281,391
584,444
997,436
84,590
233,666
692,301
259,493
391,454
62,362
599,45
986,21
174,768
259,20
580,557
661,305
545,945
823,537
55,612
528,201
863,795
572,797
614,390
842,856
26,498
287,255
228,548
531,789
517,579
67,781
721,547
